
Summary,ECU
Emissions
,CO2e_GAN_FERM,246444
,CO2e_GAN_GE,10157.2
,CO2e_GAN_GED,6720.37
,CO2e_GAN_GEI,2243.96
,CO2e_AGR_DIR,47215
,CO2e_AGR_IND,23130.2
,CO2e_ENC,666.74
,CO2e_URE,5420.19
,CO2e_BIO,1669.52
,CO2e_ARR,34877.2
,EXT_REGAIR,74.5361
,CH4_FERMEN,8404.37
,CH4_GED,2212.7
,CH4_ARR,1245.56
,CH4_BIO,47.7703
,N2O_FERMEN,2.94677
,N2O_GEI,35.7595
,N2O_AGR_DIR,178.219
,N2O_AGR_IND,87.263
,N2O_BIO,1.24049
,NOX_BIO,44.5058
,CO_BIO,1637.83
,N2O_GED,44.1382

Cost,12256.7

TID Demand

,ECU
Fuel,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
E6TRNOMOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

Time Dependent Demand (Energy Units)

,ECU
Fuel,Timeslice,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
E1ELE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E1_SOI,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_ARR,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_BAN,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_COC,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_COF,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_SUG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_MAI,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_PAF,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_SOY,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_PAL,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_LEG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_CER,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_TUB,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_FRT,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_VEG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_FLO,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_BOV,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_BOVLEC,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_BUF,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_OVE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_CBR,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_CAM,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_CAB,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_MUL,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_POR,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_AVE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2_CRO,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E2_PAS,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_BOVVAC,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_BOVCRE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_BOVREG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_BOVVACREG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_BOVCREREG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_BOVLECREG,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_PAT,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_PAV,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E3_PON,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5AGRELE,All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5AGRARR,All,1.69354,1.45272,1.596,1.47313,1.36409,1.65187,1.53442,1.06632,1.31871,1.07089,1.29348,1.48573,1.54293,1.43757,1.53428,1.54897,1.65167,1.70461,1.76002,1.81149,1.87001,1.86202,1.9102,1.96603,2.01142,2.05601
E5AGRBAN,All,3.03554,2.08983,2.08874,0.8522,1.24876,1.2152,0.657597,0.247814,0.0643407,0.161043,0.0458798,0.126157,0.120994,0.600244,0.943315,0.894662,0.92983,0.965173,1.00069,1.03639,1.07227,1.10832,1.14456,1.18097,1.21757,1.25435
E5AGRCOC,All,0.0670489,0.0720657,0.0690839,0.070099,0.0731099,0.0732749,0.074101,0.0766801,0.0808574,0.0825127,0.0840073,0.0874448,0.123556,0.1558,0.142185,0.149588,0.179223,0.196593,0.215096,0.233025,0.25338,0.255636,0.273869,0.294793,0.313208,0.331864
E5AGRCOF,All,0.013109,0.0149765,0.0131928,0.0134085,0.0136233,0.011817,0.0117402,0.0117717,0.0130365,0.0114558,0.011833,0.0100364,0.0145779,0.0161527,0.0178394,0.0198773,0.0214944,0.0233286,0.0251438,0.0269793,0.0287656,0.0310086,0.0328698,0.034681,0.0365572,0.0384383
E5AGRSUG,All,8.36924,8.17124,7.40597,7.1484,8.26431,10.1473,8.60188,9.35643,7.87523,10.0581,11.3838,11.6892,8.1372,9.22531,9.81271,9.86085,10.4795,10.5121,10.5449,10.5777,10.6106,10.6436,10.6767,10.7099,10.7432,10.7766
E5AGRMAI,All,1.45123,1.48895,1.62875,1.30813,1.7814,2.05024,1.2618,1.65002,1.50596,1.65064,1.51206,1.90162,1.79779,1.95071,2.08027,2.09954,2.23618,2.30593,2.37864,2.44576,2.52191,2.5099,2.5719,2.64368,2.70142,2.75786
E5AGRPAF,All,2.72149,1.86168,2.37579,2.11914,3.25588,3.91481,2.81446,2.9973,2.51192,2.10918,2.2902,2.32099,2.20136,1.9435,2.05595,2.07041,2.18719,2.24468,2.3043,2.35887,2.42057,2.40971,2.45955,2.51721,2.563,2.60751
E5AGRSOY,All,0,0,0,0,0.0326833,0.0326999,0.041792,0.0350288,0.0255071,0.0395103,0.0272375,0.0200681,0.0294449,0.0269458,0.028557,0.0285767,0.0302592,0.0309789,0.0317308,0.0323954,0.0331764,0.0327313,0.0333053,0.0340049,0.034505,0.0349809
E5AGRPAL,All,0,0,0,0,0,0.0328752,0.00871029,0.00462328,0.0130113,0.014805,0.0102875,0.0106818,0.0145076,0.0250438,0.0207864,0.0277949,0.0220888,0.0232778,0.0240234,0.0253891,0.0255182,0.0374538,0.039518,0.0402957,0.0428348,0.0455264
E5AGRLEG,All,0.0421376,0.0494164,0.0280471,0.0177361,0.0570787,0.0538383,0.0698789,0.0562925,0.0620581,0.0709314,0.0726991,0.0810583,0.0622333,0.0786662,0.0824471,0.0834616,0.0872393,0.0893539,0.0914988,0.0934988,0.0956456,0.0961401,0.0980079,0.100043,0.101786,0.103489
E5AGRCER,All,0.632188,0.590558,0.577658,0.61226,0.028446,1.07787,0.961285,1.13643,1.1359,1.1918,1.28546,1.51591,1.74841,1.91372,2.07648,2.23815,2.40094,2.56308,2.72524,2.88734,3.04952,3.21091,3.37295,3.53508,3.69707,3.85906
E5AGRTUB,All,0.442588,0.381165,0.356761,0.399783,1.32257,0.455421,0.521229,0.488898,0.356136,0.357282,0.480664,0.354229,0.41323,0.444127,0.472031,0.474799,0.503995,0.517969,0.532507,0.5457,0.560803,0.556285,0.568126,0.582033,0.592768,0.603145
E5AGRFRT,All,0.113727,0.0737071,0.125871,0.164285,0.24405,0.86233,0.743139,0.979863,0.81041,0.942496,0.91619,0.945115,1.16561,0.861927,0.887478,0.901801,0.924751,0.941169,0.957203,0.97282,0.987905,1.00623,1.02191,1.03724,1.05254,1.06773
E5AGRVEG,All,0.102078,0.0656764,0.0853809,0.0393326,0.11314,0.115239,0.087653,0.209807,0.182506,0.191125,0.156891,0.145023,0.153136,0.112022,0.113719,0.116227,0.117294,0.118903,0.120378,0.121935,0.123174,0.127303,0.129039,0.130475,0.132274,0.1341
E5AGRFLO,All,0,0,0,0,0.314833,0.447569,0.392197,0.454997,0.352442,0.367413,0.240749,0.272675,0.176269,0.253076,0.252431,0.259961,0.257078,0.259303,0.26099,0.263242,0.264083,0.278329,0.28146,0.283199,0.28679,0.290548
E5GANBOV,All,0.339529,0.3294,0.319271,0.324171,0.329072,0.35512,0.381167,0.339098,0.297028,0.315292,0.317465,0.29777,0.301773,0.305742,0.309674,0.31357,0.317423,0.321234,0.324998,0.328717,0.332384,0.336,0.33956,0.343062,0.346506,0.349887
